y1 y2 cov1 cov2 age haircolor ynull
3 4.4 13.76 10.51 13 blond -1.96
1 11.57 5.28 6.18 11 black -0.81
1 7.64 13.01 7.9 12 brown 5.46
0 3.65 13.06 9.84 5 black 0.25
3 1.86 8.62 9.03 6 brown 0.45
7 4.63 15.42 13.31 7 black 6
5 10.49 9.53 11.66 8 blond 1.61
3 5.86 6.19 12.71 9 brown -4.43
1 5.29 8.05 12.6 16 brown -2.4
6 9.24 9.04 13.65 8 brown -1.56
5 5.2 6.16 10.81 11 blond 4.28
1 1.96 12.61 10.58 6 none 1.26
5 3.67 6.29 9.74 4 grey 1.4
4 7.56 15.17 13.83 10 none 0.39
4 5.03 8.63 11.14 12 brown -1.95
6 11.73 10.32 9.99 9 black 6.25
3 12.19 13.83 5.57 4 grey 1.74
5 7.71 8.99 11.15 5 blond -6.88
0 9.51 8.22 6.23 11 black 2.45
-1 7.9 12.16 11.5 13 none -1.65
3 9.47 7.61 10.12 9 black -3.74
4 13.37 4.01 13.43 6 none -0.76
2 6.65 12.79 6.82 8 blond -3.59
4 4.15 8.21 10.43 12 none -2.55
2 5.88 11.33 5.06 7 blond -2.19
3 2.89 10.31 3.65 7 black -5.9
1 3.87 9.58 13.05 9 blond 2.93
4 3.93 12.88 11.55 5 blond 0.54
6 10.34 11.47 7.01 11 black -3.98
2 6.99 6.54 9.22 11 black 4.39
5 13.16 5.95 8.92 5 blond 1.49
0 6.29 10.83 17.12 9 none -1.03
3 12.53 9.48 11.07 11 blond 3.13
3 3.79 8.17 13.09 11 blond 3.07
2 6.55 11.52 6.27 4 black 2.88
2 4.93 13.25 12.91 8 brown 2.41
2 6.84 9.32 13.14 8 brown 1.94
1 8.94 8.21 7.83 9 none -0.22
1 10.29 8 8.16 12 none -1.07
4 7.29 6.22 4.94 12 brown -1.33
3 8.75 8.43 12.28 7 blond -2.43
1 3.94 13.26 11.58 11 grey -0.73
3 2.47 9.55 10.04 10 brown -4.43
4 9.07 10.23 8.27 12 black 7.59
3 9.35 7.68 15.88 10 black 4.23
6 9.38 17.56 10.97 11 brown -3.93
4 7.84 7.44 5.99 3 blond -1.41
2 2.28 12.42 5.81 16 black -1.63
6 10.62 10.6 11.06 8 none 2.73
1 7.38 6.03 7.54 10 black -0.29
5 6.14 11.06 8.6 12 blond 0.89
4 4.65 6.98 9.81 13 brown -0.1
5 7.38 13.52 9.19 7 brown -0.15
4 8.48 13.11 8.8 7 none 4.79
4 3.52 11.84 5.99 14 grey -0.79
1 5.3 8.7 5.32 11 blond 5.31
2 5.27 8.03 12.16 12 black -5.42
2 7 11.72 12 3 none 2.05
2 6.28 10.43 6.82 8 none 0.43
6 6.86 11.76 9.72 5 blond 0.76
2 6.23 7.11 11.33 9 black 1.33
3 5.94 3.26 7.98 11 black -1.76
5 9.46 8.51 5.85 14 blond -1.17
3 7.46 8.05 12.62 9 blond -3.57
7 10.49 10.24 15.35 7 grey -3.75
7 5.91 6.89 11.87 17 none 1.06
3 2.8 8.51 9.88 8 none 1.57
4 4.74 7.19 12.36 7 blond 0.19
6 11.37 8.07 8.81 9 grey 3.23
1 7.91 6.43 11.18 15 none 7.18
5 9.72 14.42 9.21 8 brown -1.72
0 10.98 16.33 5.87 5 brown -8.08
2 8.45 7.99 8.81 8 blond 3.52
5 2.06 6.52 10.04 8 black -2.48
5 9.52 13.5 11.67 8 none -2.41
-1 2.59 8.62 11.95 6 blond 3.59
4 3.41 10.6 7.96 7 none -1
3 11.1 6.87 14.23 12 black -4.27
3 8.17 10.25 9.81 5 brown 0.63
0 4.59 8.16 12.06 7 grey -0.49
6 9.26 7.95 12.74 10 brown 0.02
3 4.78 8.43 12.65 3 black 1.35
4 9.62 14.13 17.25 2 black -1.3
3 7.64 12.03 14.83 11 blond 2.26
3 3.15 12.17 9.66 10 black -0.77
1 10.08 14.26 11.47 7 brown 1.16
3 6.85 9.99 7.95 6 grey 3.84
2 9.76 6.01 11.79 8 grey 1.52
5 7.69 12.42 10.52 10 none -1.14
3 11.29 13.12 12.65 8 blond 4.02
4 5.23 10.21 8.32 11 blond 3.48
4 4.52 7.3 7.79 10 none 1.92
5 5.17 10.24 10.3 9 blond 0.84
-1 6.32 9.83 10 11 none -2.2
6 5.86 13.56 6.89 9 black 4.76
5 13.31 10.3 13.52 8 brown -2.1
5 6.28 10.74 9.66 12 brown 7.66
3 8.87 14.11 12.29 5 blond 5.36
2 10 11.48 13.24 11 grey -0.82
3 11.88 13.15 11.17 11 blond -3.59
